symbol,earnings_date
LULU,2020-06-10
RH,2020-06-10
TLRD,2020-06-10
CHS,2020-06-10
NEPT,2020-06-10
TYME,2020-06-10
CRTX,2020-06-10
OXM,2020-06-10
BCEL,2020-06-10
SMMT,2020-06-10
CULP,2020-06-10
RFIL,2020-06-10
PLAY,2020-06-09
HDS,2020-06-09
HRB,2020-06-09
CPST,2020-06-09
JW.A,2020-06-09
STSA,2020-06-09
XCUR,2020-06-09
JFIN,2020-06-09
AXGT,2020-06-09
ANIX,2020-06-09
COUP,2020-06-08
CASY,2020-06-08
AZRE,2020-06-08
THO,2020-06-08
WORK,2020-06-08
LMNR,2020-06-08
LOVE,2020-06-08
LAKE,2020-06-08
UBA,2020-06-05
AVGO,2020-06-04
ANF,2020-06-04
MRVL,2020-06-04
DLTR,2020-06-04
CIEN,2020-06-04
BURL,2020-06-04
VMW,2020-06-04
TITN,2020-06-04
OLLI,2020-06-04
TECD,2020-06-04
SIG,2020-06-04
DOCU,2020-06-04
EXPR,2020-06-04
SJM,2020-06-04
HOME,2020-06-04
GES,2020-06-04
WSM,2020-06-04
GPS,2020-06-04
MTN,2020-06-04
NGL,2020-06-04
DOMO,2020-06-04
MIK,2020-06-04
MOV,2020-06-04
SAIC,2020-06-04
BITA,2020-06-04
YEXT,2020-06-04
WPRT,2020-06-04
DLNG,2020-06-04
ZUMZ,2020-06-04
JILL,2020-06-04
COO,2020-06-04
TTC,2020-06-04
SAFM,2020-06-04
DOOO,2020-06-04
PD,2020-06-04
MESO,2020-06-04
CVGW,2020-06-04
THR,2020-06-04
DBI,2020-06-04
SPWH,2020-06-04
TNP,2020-06-04
RRGB,2020-06-04
POETF,2020-06-04
GHM,2020-06-04
SEAC,2020-06-04
CLGN,2020-06-04
CLDR,2020-06-03
GOOS,2020-06-03
FIVE,2020-06-03
SFIX,2020-06-03
MDB,2020-06-03
AEO,2020-06-03
ZUO,2020-06-03
CMTL,2020-06-03
PVH,2020-06-03
TLYS,2020-06-03
CPB,2020-06-03
GIII,2020-06-03
UNFI,2020-06-03
SCWX,2020-06-03
VRNT,2020-06-03
AMSC,2020-06-03
SMAR,2020-06-03
SMTC,2020-06-03
BF.B,2020-06-03
HMLP,2020-06-03
ABM,2020-06-03
UBSFY,2020-06-03
UHAL,2020-06-03
ESTC,2020-06-03
CPRI,2020-06-03
GEF,2020-06-03
REVG,2020-06-03
VRA,2020-06-03
BWAY,2020-06-03
AKTX,2020-06-03
VOLT,2020-06-03
