symbol,description,industry,sector,market_cap
CEO,CNOOC Limited,Energy,Oil & Gas E&P,53.60B
SIM,"Grupo Simec, S.A.B. de C.V.",Basic Materials,Steel,2.09B
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,2.45B
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,591.19B
GHC,Graham Holdings Company,Consumer Defensive,Education & Training Services,3.02B
TARO,Taro Pharmaceutical Industries Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,2.98B
EBR-B,Centrais Eletricas Brasileiras S.A.,Utilities,Utilities - Regulated Electric,9.18B
IX,ORIX Corporation,Financial,Credit Services,22.01B
BF-A,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,11.36B
WF,Woori Financial Group Inc.,Financial,Banks - Regional,6.40B
VIE,"Viela Bio, Inc.",Healthcare,Biotechnology,2.91B
SEB,Seaboard Corporation,Industrials,Conglomerates,4.37B
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,2.30B
GB,Global Blue Group Holding AG,Technology,Information Technology Services,2.15B
SHI,Sinopec Shanghai Petrochemical Company Limited,Energy,Oil & Gas Refining & Marketing,4.94B
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,17.37B
NEU,NewMarket Corporation,Basic Materials,Specialty Chemicals,4.39B
ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,2.76B
FSV,FirstService Corporation,Real Estate,Real Estate Services,6.63B
JHX,James Hardie Industries plc,Basic Materials,Building Materials,12.67B
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,2.78B
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,5.19B
AVAL,Grupo Aval Acciones y Valores S.A.,Financial,Banks - Regional,7.27B
CEA,China Eastern Airlines Corporation Limited,Industrials,Airlines,11.90B
UHAL,AMERCO,Industrials,Rental & Leasing Services,11.87B
KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,2.02B
LEN-B,Lennar Corporation,Consumer Cyclical,Residential Construction,2.75B
CABO,"Cable One, Inc.",Communication Services,Telecom Services,10.91B
WTM,"White Mountains Insurance Group, Ltd.",Financial,Insurance - Property & Casualty,3.68B
LANC,Lancaster Colony Corporation,Consumer Defensive,Packaged Foods,5.06B
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,2.07B
CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,2.05B
MKL,Markel Corporation,Financial,Insurance - Property & Casualty,15.46B
ITCB,Itau Corpbanca,Financial,Banks - Regional,2.03B
ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,6.12B
BBU,Brookfield Business Partners L.P.,Industrials,Conglomerates,3.07B
Y,Alleghany Corporation,Financial,Insurance - Property & Casualty,9.02B
ROG,Rogers Corporation,Technology,Electronic Components,3.64B
BATRA,The Liberty Braves Group,Communication Services,Entertainment,27.23B
ESGR,Enstar Group Limited,Financial,Insurance - Diversified,5.73B
CPK,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,2.09B
CACC,Credit Acceptance Corporation,Financial,Credit Services,6.32B
CBPO,"China Biologic Products Holdings, Inc.",Healthcare,Biotechnology,4.53B
CMPR,Cimpress plc,Communication Services,Advertising Agencies,2.70B
PRK,Park National Corporation,Financial,Banks - Regional,2.21B
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Defensive,Beverages - Non-Alcoholic,2.48B
DAVA,Endava plc,Technology,Software - Infrastructure,4.53B
HNP,"Huaneng Power International, Inc.",Utilities,Utilities - Independent Power Producers,8.87B
SCL,Stepan Company,Basic Materials,Specialty Chemicals,2.84B
JJSF,J & J Snack Foods Corp.,Consumer Defensive,Packaged Foods,3.13B
CENT,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,2.61B
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Industrials,Airports & Air Services,2.34B
SAM,"The Boston Beer Company, Inc.",Consumer Defensive,Beverages - Brewers,13.99B
STN,Stantec Inc.,Industrials,Engineering & Construction,4.66B
CIXX,CI Financial Corp,Financial,Asset Management,3.15B
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,2.52B
LBRDA,Liberty Broadband Corporation,Communication Services,Entertainment,29.59B
ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,2.85B
IFS,Intercorp Financial Services Inc.,Financial,Banks - Regional,3.55B
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services,4.10B
NNI,"Nelnet, Inc.",Financial,Credit Services,2.87B
ZNH,China Southern Airlines Company Limited,Industrials,Airlines,15.17B
DOOO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,3.45B
UI,Ubiquiti Inc.,Technology,Communication Equipment,21.40B
WNS,WNS (Holdings) Limited,Industrials,Specialty Business Services,3.77B
MOR,MorphoSys AG,Healthcare,Biotechnology,3.32B
BCPC,Balchem Corporation,Basic Materials,Specialty Chemicals,4.11B
FWONA,Formula One Group,Communication Services,Broadcasting,27.88B
BANF,BancFirst Corporation,Financial,Banks - Regional,2.29B
ARD,Ardagh Group S.A.,Consumer Cyclical,Packaging & Containers,6.32B
ERIE,Erie Indemnity Company,Financial,Insurance Brokers,10.97B
PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",Industrials,Airports & Air Services,4.93B
KWR,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,4.40B
DSGX,The Descartes Systems Group Inc,Technology,Software - Application,5.31B
IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,2.53B
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,2.02B
KRTX,"Karuna Therapeutics, Inc.",Healthcare,Biotechnology,3.47B
TIGO,Millicom International Cellular S.A.,Communication Services,Telecom Services,4.08B
GSHD,"Goosehead Insurance, Inc",Financial,Insurance - Diversified,5.08B
HLIO,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,2.31B
FCNCA,"First Citizens BancShares, Inc.",Financial,Banks - Regional,8.21B
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,4.13B
WPP,WPP plc,Communication Services,Advertising Agencies,15.60B
ROLL,RBC Bearings Incorporated,Industrials,Tools & Accessories,4.95B
PSB,"PS Business Parks, Inc.",Real Estate,REIT - Diversified,4.17B
ABCM,Abcam plc,Healthcare,Biotechnology,4.87B
WBK,Westpac Banking Corporation,Financial,Banks - Diversified,69.60B
LFUS,"Littelfuse, Inc.",Technology,Electronic Components,6.70B
RLI,RLI Corp.,Financial,Insurance - Property & Casualty,5.20B
ICUI,"ICU Medical, Inc.",Healthcare,Medical Instruments & Supplies,4.36B
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,11.16B
SHG,"Shinhan Financial Group Co., Ltd.",Financial,Banks - Regional,16.33B
MAX,"MediaAlpha, Inc.",Communication Services,Internet Content & Information,3.79B
BCH,Banco de Chile,Financial,Banks - Regional,12.43B
MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,6.40B
NOVT,Novanta Inc.,Technology,Scientific & Technical Instruments,4.46B
PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,3.05B
KNSL,"Kinsale Capital Group, Inc.",Financial,Insurance - Property & Casualty,4.09B
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,2.68B
NOAH,Noah Holdings Limited,Financial,Asset Management,2.84B
DOOR,Masonite International Corporation,Industrials,Building Products & Equipment,2.92B
LUNG,Pulmonx Corporation,Healthcare,Medical Devices,2.12B
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3.62B
VMI,"Valmont Industries, Inc.",Industrials,Metal Fabrication,5.21B
PATK,"Patrick Industries, Inc.",Industrials,Building Products & Equipment,2.18B
PLXS,Plexus Corp.,Technology,Electronic Components,2.63B
SPSC,"SPS Commerce, Inc.",Technology,Software - Infrastructure,3.83B
MODV,ModivCare Inc.,Healthcare,Medical Care Facilities,2.06B
CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,27.34B
MED,"Medifast, Inc.",Consumer Cyclical,Personal Services,3.01B
GIB,CGI Inc.,Technology,Information Technology Services,18.06B
CCMP,"CMC Materials, Inc.",Technology,Semiconductor Equipment & Materials,5.15B
ARGX,argenx SE,Healthcare,Biotechnology,16.10B
CHE,Chemed Corporation,Healthcare,Medical Care Facilities,7.30B
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,26.03B
JOBS,"51job, Inc.",Industrials,Staffing & Employment Services,4.36B
INDB,Independent Bank Corp.,Financial,Banks - Regional,3.12B
NVMI,Nova Measuring Instruments Ltd.,Technology,Semiconductor Equipment & Materials,2.40B
DFH,"Dream Finders Homes, Inc.",Consumer Cyclical,Residential Construction,2.42B
APPF,"AppFolio, Inc.",Technology,Software - Application,5.04B
FBK,FB Financial Corporation,Financial,Banks - Regional,2.19B
MANT,ManTech International Corporation,Technology,Software - Application,3.29B
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,8.05B
ITGR,Integer Holdings Corporation,Healthcare,Medical Devices,3.10B
FN,Fabrinet,Technology,Electronic Components,3.40B
HCM,Hutchison China MediTech Limited,Healthcare,Drug Manufacturers - General,4.10B
NEOG,Neogen Corporation,Healthcare,Diagnostics & Research,4.50B
PRI,"Primerica, Inc.",Financial,Insurance - Life,6.08B
HEI-A,HEICO Corporation,Industrials,Aerospace & Defense,9.93B
