just_date,industry,benchmark_20d
2016-01-26,Financials,
2016-01-27,Financials,
2016-01-28,Financials,
2016-01-29,Financials,
2016-02-01,Financials,
2016-02-02,Financials,
2016-02-03,Financials,
2016-02-04,Financials,
2016-02-05,Financials,
2016-02-08,Financials,
2016-02-09,Financials,
2016-02-10,Financials,
2016-02-11,Financials,
2016-02-12,Financials,
2016-02-16,Financials,
2016-02-17,Financials,
2016-02-18,Financials,
2016-02-19,Financials,
2016-02-22,Financials,
2016-02-23,Financials,
2016-02-24,Financials,
2016-02-25,Financials,
2016-02-26,Financials,
2016-02-29,Financials,
2016-03-01,Financials,
2016-03-02,Financials,
2016-03-03,Financials,
2016-03-04,Financials,
2016-03-07,Financials,
2016-03-08,Financials,0.0
2016-03-09,Financials,0.0
2016-03-10,Financials,0.0
2016-03-11,Financials,0.0
2016-03-14,Financials,0.0
2016-03-15,Financials,0.0
2016-03-16,Financials,0.0
2016-03-17,Financials,0.0
2016-03-18,Financials,0.0
2016-03-21,Financials,0.0
2016-03-22,Financials,0.0
2016-03-23,Financials,0.0
2016-03-24,Financials,0.0
2016-03-28,Financials,0.0
2016-03-29,Financials,0.0
2016-03-30,Financials,0.0
2016-03-31,Financials,0.0
2016-04-01,Financials,0.0
2016-04-04,Financials,0.0
2016-04-05,Financials,0.0
2016-04-06,Financials,0.0
2016-04-07,Financials,0.0
2016-04-08,Financials,0.0
2016-04-11,Financials,0.0
2016-04-12,Financials,0.0
2016-04-13,Financials,0.0
2016-04-14,Financials,0.0
2016-04-15,Financials,0.0
2016-04-18,Financials,0.0
2016-04-19,Financials,0.0
2016-04-20,Financials,0.0
2016-04-21,Financials,0.0
2016-04-22,Financials,0.0
2016-04-25,Financials,0.0
2016-04-26,Financials,0.0
2016-04-27,Financials,0.0
2016-04-28,Financials,0.0
2016-04-29,Financials,0.0
2016-05-02,Financials,0.0
2016-05-03,Financials,0.0
2016-05-04,Financials,0.0
2016-05-05,Financials,0.0
2016-05-06,Financials,0.0
2016-05-09,Financials,0.0
2016-05-10,Financials,0.0
2016-05-11,Financials,0.0
2016-05-12,Financials,0.0
2016-05-13,Financials,0.0
2016-05-16,Financials,0.0
2016-05-17,Financials,0.0
2016-05-18,Financials,0.0
2016-05-19,Financials,0.0
2016-05-20,Financials,0.0
2016-05-23,Financials,0.0
2016-05-24,Financials,0.0
2016-05-25,Financials,0.0
2016-05-26,Financials,0.0
2016-05-27,Financials,0.0
2016-05-31,Financials,0.0
2016-06-01,Financials,0.0
2016-06-02,Financials,0.0
2016-06-03,Financials,0.0
2016-06-06,Financials,0.0
2016-06-07,Financials,0.0
2016-06-08,Financials,0.0
2016-06-09,Financials,0.0
2016-06-10,Financials,0.0
2016-06-13,Financials,0.0
2016-06-14,Financials,0.0
2016-06-15,Financials,0.0
2016-06-16,Financials,0.0
2016-06-17,Financials,0.0
2016-06-20,Financials,0.0
2016-06-21,Financials,0.0
2016-06-22,Financials,0.0
2016-06-23,Financials,0.0
2016-06-24,Financials,0.0
2016-06-27,Financials,0.0
2016-06-28,Financials,0.0
2016-06-29,Financials,0.0
2016-06-30,Financials,0.0
2016-07-01,Financials,0.0
2016-07-05,Financials,0.0
2016-07-06,Financials,0.0
2016-07-07,Financials,0.0
2016-07-08,Financials,0.0
2016-07-11,Financials,0.0
2016-07-12,Financials,0.0
2016-07-13,Financials,0.0
2016-07-14,Financials,0.0
2016-07-15,Financials,0.0
2016-07-18,Financials,0.0
2016-07-19,Financials,0.0
2016-07-20,Financials,0.0
2016-07-21,Financials,0.0
2016-07-22,Financials,0.0
2016-07-25,Financials,0.0
2016-07-26,Financials,0.0
2016-07-27,Financials,0.0
2016-07-28,Financials,0.0
2016-07-29,Financials,0.0
2016-08-01,Financials,0.0
2016-08-02,Financials,0.0
2016-08-03,Financials,0.0
2016-08-04,Financials,0.0
2016-08-05,Financials,0.0
2016-08-08,Financials,0.0
2016-08-09,Financials,0.0
2016-08-10,Financials,0.0
2016-08-11,Financials,0.0
2016-08-12,Financials,0.0
2016-08-15,Financials,0.0
2016-08-16,Financials,0.0
2016-08-17,Financials,0.0
2016-08-18,Financials,0.0
2016-08-19,Financials,0.0
2016-08-22,Financials,0.0
2016-08-23,Financials,0.0
2016-08-24,Financials,0.0
2016-08-25,Financials,0.0
2016-08-26,Financials,0.0
2016-08-29,Financials,0.0
2016-08-30,Financials,0.0
2016-08-31,Financials,0.0
2016-09-01,Financials,0.0
