,buys,sells,winners,losers
0,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",67,122
1,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')",13,55
2,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')",1054,778
3,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')",34,63
4,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_4d')",0,0
5,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'placeholder_1')",977,708
6,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'lower_lows_4d')",526,1105
7,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'lower_lows_3d', 'placeholder_1')",593,1255
8,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'lower_lows_4d', 'placeholder_1')",526,1105
9,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('macd_bearish_divergence_30d', 'placeholder_1', 'placeholder_2')",964,967
10,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_3d')",578,187
11,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",60,13
12,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",1409,545
13,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",470,254
14,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",866,361
15,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",470,254
16,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",1323,635
17,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",60,13
