max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv
-0.2,-0.1,0.3,0.2,0.01,10,2017-06-30,2018-06-30,5966.0
-0.2,-0.1,0.67,0.2,0.01,10,2017-06-30,2018-06-30,5966.0
-0.2,-0.1,0.5,0.2,0.01,10,2017-06-30,2018-06-30,5966.0
-0.3,-0.1,0.67,0.2,0.01,10,2017-06-30,2018-06-30,5965.0
-0.3,-0.1,0.3,0.2,0.01,10,2017-06-30,2018-06-30,5965.0
-0.3,-0.1,0.5,0.2,0.01,10,2017-06-30,2018-06-30,5965.0
-0.3,-0.2,0.5,0.2,0.01,10,2017-06-30,2018-06-30,5825.0
-0.3,-0.2,0.3,0.2,0.01,10,2017-06-30,2018-06-30,5825.0
-0.2,-0.2,0.67,0.2,0.01,10,2017-06-30,2018-06-30,5825.0
-0.2,-0.2,0.3,0.2,0.01,10,2017-06-30,2018-06-30,5825.0
-0.2,-0.2,0.5,0.2,0.01,10,2017-06-30,2018-06-30,5825.0
-0.3,-0.2,0.67,0.2,0.01,10,2017-06-30,2018-06-30,5825.0
-0.3,-0.1,0.3,0.1,0.01,10,2017-06-30,2018-06-30,5786.0
-0.2,-0.1,0.3,0.1,0.01,10,2017-06-30,2018-06-30,5786.0
-0.3,-0.1,0.5,0.1,0.01,10,2017-06-30,2018-06-30,5786.0
-0.2,-0.1,0.67,0.1,0.01,10,2017-06-30,2018-06-30,5786.0
-0.2,-0.1,0.5,0.1,0.01,10,2017-06-30,2018-06-30,5786.0
-0.3,-0.1,0.67,0.1,0.01,10,2017-06-30,2018-06-30,5786.0
-0.3,-0.2,0.5,0.1,0.01,10,2017-06-30,2018-06-30,5781.0
-0.2,-0.2,0.5,0.1,0.01,10,2017-06-30,2018-06-30,5781.0
-0.2,-0.2,0.3,0.1,0.01,10,2017-06-30,2018-06-30,5781.0
-0.3,-0.2,0.3,0.1,0.01,10,2017-06-30,2018-06-30,5781.0
