max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv_6,mv_0
-0.1,-0.1,0.3,0.1,0.01,10,2016-01-01,2020-09-01,5601.0,6551.0
-0.1,-0.1,0.3,0.1,0.01,15,2016-01-01,2020-09-01,5545.0,5726.0
-0.1,-0.1,0.3,0.1,0.01,20,2016-01-01,2020-09-01,5290.0,5902.0
-0.1,-0.1,0.3,0.1,0.025,10,2016-01-01,2020-09-01,7477.0,8575.0
-0.1,-0.1,0.3,0.1,0.025,15,2016-01-01,2020-09-01,5686.0,8426.0
-0.1,-0.1,0.3,0.1,0.025,20,2016-01-01,2020-09-01,8543.0,8910.0
-0.1,-0.1,0.3,0.1,0.05,10,2016-01-01,2020-09-01,8259.0,8114.0
-0.1,-0.1,0.3,0.1,0.05,15,2016-01-01,2020-09-01,8089.0,7927.0
-0.1,-0.1,0.3,0.1,0.05,20,2016-01-01,2020-09-01,8140.0,7863.0
-0.1,-0.1,0.3,0.2,0.01,10,2016-01-01,2020-09-01,6212.0,6596.0
-0.1,-0.1,0.3,0.2,0.01,15,2016-01-01,2020-09-01,5643.0,5708.0
-0.1,-0.1,0.3,0.2,0.01,20,2016-01-01,2020-09-01,5688.0,6302.0
-0.1,-0.1,0.3,0.2,0.025,10,2016-01-01,2020-09-01,6395.0,8022.0
-0.1,-0.1,0.3,0.2,0.025,15,2016-01-01,2020-09-01,5106.0,8370.0
-0.1,-0.1,0.3,0.2,0.025,20,2016-01-01,2020-09-01,8755.0,9070.0
-0.1,-0.1,0.3,0.2,0.05,10,2016-01-01,2020-09-01,7897.0,7983.0
-0.1,-0.1,0.3,0.2,0.05,15,2016-01-01,2020-09-01,9409.0,7691.0
-0.1,-0.1,0.3,0.2,0.05,20,2016-01-01,2020-09-01,8429.0,7977.0
-0.1,-0.1,0.3,0.3,0.01,10,2016-01-01,2020-09-01,6277.0,6566.0
-0.1,-0.1,0.3,0.3,0.01,15,2016-01-01,2020-09-01,5640.0,5707.0
-0.1,-0.1,0.3,0.3,0.01,20,2016-01-01,2020-09-01,5071.0,6265.0
-0.1,-0.1,0.3,0.3,0.025,10,2016-01-01,2020-09-01,6504.0,8059.0
-0.1,-0.1,0.3,0.3,0.025,15,2016-01-01,2020-09-01,5399.0,8405.0
-0.1,-0.1,0.3,0.3,0.025,20,2016-01-01,2020-09-01,8374.0,9101.0
-0.1,-0.1,0.3,0.3,0.05,10,2016-01-01,2020-09-01,7881.0,8379.0
-0.1,-0.1,0.3,0.3,0.05,15,2016-01-01,2020-09-01,9544.0,7679.0
-0.1,-0.1,0.3,0.3,0.05,20,2016-01-01,2020-09-01,8177.0,7160.0
-0.1,-0.1,0.5,0.1,0.01,10,2016-01-01,2020-09-01,5603.0,6541.0
-0.1,-0.1,0.5,0.1,0.01,15,2016-01-01,2020-09-01,5543.0,5726.0
-0.1,-0.1,0.5,0.1,0.01,20,2016-01-01,2020-09-01,5951.0,5816.0
-0.1,-0.1,0.5,0.1,0.025,10,2016-01-01,2020-09-01,7170.0,8684.0
-0.1,-0.1,0.5,0.1,0.025,15,2016-01-01,2020-09-01,5301.0,8351.0
-0.1,-0.1,0.5,0.1,0.025,20,2016-01-01,2020-09-01,9131.0,8767.0
-0.1,-0.1,0.5,0.1,0.05,10,2016-01-01,2020-09-01,8097.0,8114.0
-0.1,-0.1,0.5,0.1,0.05,15,2016-01-01,2020-09-01,8787.0,8443.0
-0.1,-0.1,0.5,0.1,0.05,20,2016-01-01,2020-09-01,8544.0,7678.0
-0.1,-0.1,0.5,0.2,0.01,10,2016-01-01,2020-09-01,6261.0,6626.0
-0.1,-0.1,0.5,0.2,0.01,15,2016-01-01,2020-09-01,5487.0,5570.0
-0.1,-0.1,0.5,0.2,0.01,20,2016-01-01,2020-09-01,5655.0,6302.0
-0.1,-0.1,0.5,0.2,0.025,10,2016-01-01,2020-09-01,6065.0,8117.0
-0.1,-0.1,0.5,0.2,0.025,15,2016-01-01,2020-09-01,5294.0,8341.0
-0.1,-0.1,0.5,0.2,0.025,20,2016-01-01,2020-09-01,8659.0,9054.0
-0.1,-0.1,0.5,0.2,0.05,10,2016-01-01,2020-09-01,10039.0,8473.0
-0.1,-0.1,0.5,0.2,0.05,15,2016-01-01,2020-09-01,9488.0,8171.0
